"공간정보관리번호","X 좌표 최소값","Y 좌표 최소값","X 좌표 최대값","Y 좌표 최대값","제설함번호","관리기관명","위치상세정보","비고"
"3422","211938.6","550786.1","211938.6","550786.1","강동-52","강동구","고덕로23길 30","고덕로"
"3423","211921.7","550603.6","211921.7","550603.6","강동-53","강동구","고덕로 81","고덕로"
"3424","212489.1","550572.5","212489.1","550572.5","강동-54","강동구","고덕로38길 8","고덕로"
"3425","212750.5","550567.1","212750.5","550567.1","강동-55","강동구","양재대로 1666","양재대로"
"3426","213008.4","550779.3","213008.4","550779.3","강동-56","강동구","양재대로156길 11","양재대로"
"3427","212856.1","551175.6","212856.1","551175.6","강동-57","강동구","아리수로50길 50","아리수로"
"3428","213329.7","551375.6","213329.7","551375.6","강동-58","강동구","아리수로50길 50","아리수로"
"3429","213523.8","551403.7","213523.8","551403.7","강동-59","강동구","아리수로 50","아리수로"
"3430","213463.3","550846.0","213463.3","550846.0","강동-60","강동구","고덕동 493","양재대로"
"3431","213859.2","550647.3","213859.2","550647.3","강동-61","강동구","고덕로 276","고덕로"
"3432","214584.1","550781.5","214584.1","550781.5","강동-62","강동구","상일동 143","고덕로"
"3433","215114.9","550857.5","215114.9","550857.5","강동-63","강동구","상일로 91","상일로"
"3434","213884.5","551489.4","213884.5","551489.4","강동-64","강동구","아리수로 256","아리수로"
"3435","214050.0","551228.7","214050.0","551228.7","강동-65","강동구","고덕로82길 968","동남로"
"3436","214657.8","551174.4","214657.8","551174.4","강동-66","강동구","고덕동 217","고덕로"
"3437","214787.6","551307.0","214787.6","551307.0","강동-67","강동구","아리수로82길 42","아리수로"
"3438","214682.1","551444.7","214682.1","551444.7","강동-68","강동구","아리수로 340","아리수로"
"3439","214837.5","551428.8","214837.5","551428.8","강동-69","강동구","아리수로 356-1","아리수로"
"3440","214914.3","551421.0","214914.3","551421.0","강동-70","강동구","아리수로 364","아리수로"
"3441","214989.8","551411.4","214989.8","551411.4","강동-71","강동구","아리수로 374","아리수로"
"3442","215085.0","551368.1","215085.0","551368.1","강동-72","강동구","상일로 152","상일로"
"3443","215855.2","551158.6","215855.2","551158.6","강동-73","강동구","강일동 414-3","고덕로"
"3444","215668.9","551855.6","215668.9","551855.6","강동-74","강동구","강일동 378-14","아리수로"
"3445","215323.6","551871.6","215323.6","551871.6","강동-75","강동구","아리수로93길 33","아리수로"
"3446","215318.8","551954.7","215318.8","551954.7","강동-76","강동구","아리수로93길 25","아리수로"
"3447","215334.9","552059.0","215334.9","552059.0","강동-77","강동구","강일동 280-11","아리수로"
"3448","214000.3","552253.6","214000.3","552253.6","강동-78","강동구","아리수로87가길 275","아리수로"
"3449","212094.5","549003.9","212094.5","549003.9","강동-79","강동구","성안로 199","성안로"
"3450","213793.4","549995.6","213793.4","549995.6","강동-80","강동구","동남로 858","동남로"
"3451","211253.9","550597.5","211253.9","550597.5","강동-81","강동구","고덕로 25","고덕로"
"3452","211766.2","550588.7","211766.2","550588.7","강동-82","강동구","고덕로 66","고덕로"
"3453","214168.6","551262.4","214168.6","551262.4","강동-83","강동구","고덕동 287","동남로"
